CityCode;CountryCode;UtcOffset;TimeZoneId;Names.Name.@LanguageCode;Names.Name.$;Airports.AirportCode
MXS;WS;+13:00;Pacific/Apia;EN;Maota Savail Is;MXS
MXT;MG;+03:00;Indian/Antananarivo;EN;Maintirano;MXT
MXU;AU;+08:00;Australia/Perth;EN;Mullewa;MXU
MXV;MN;+08:00;Asia/Ulaanbaatar;EN;Moron;MXV
MXW;MN;+08:00;Asia/Ulaanbaatar;EN;Mandalgovi;MXW
MXX;SE;+01:00;Europe/Stockholm;EN;Mora;MXX
MXY;US;-09:00;America/Anchorage;EN;Mccarthy;MXY
MXZ;CN;+08:00;Asia/Shanghai;EN;Meixian;MXZ
MYA;AU;+10:00;Australia/Sydney;EN;Moruya;MYA
MYB;GA;+01:00;Africa/Libreville;EN;Mayumba;MYB
MYC;VE;-04:00;America/Caracas;EN;Maracay;MYC
MYD;KE;+03:00;Africa/Nairobi;EN;Malindi;MYD
MYE;JP;+09:00;Asia/Tokyo;EN;Miyakejima;MYE
MYG;BS;-05:00;America/Nassau;EN;Mayaguana;MYG
MYH;US;-07:00;America/Phoenix;EN;Marble Canyon;MYH
MYI;AU;+10:00;Australia/Brisbane;EN;Murray Island;MYI
MYJ;JP;+09:00;Asia/Tokyo;EN;Matsuyama;MYJ
MYK;US;-09:00;America/Anchorage;EN;May Creek;MYK
MYL;US;-07:00;America/Denver;EN;Mccall;MYL
MYM;GY;-04:00;America/Guyana;EN;Monkey Mountain;MYM
MYN;YE;+03:00;Asia/Aden;EN;Marib;MYN
MYO;AU;+08:00;Australia/Perth;EN;Myroodah Station;MYO
MYP;TM;+05:00;Asia/Ashgabat;EN;Mary;MYP
MYQ;IN;+05:30;Asia/Kolkata;EN;Mysore;MYQ
MYR;US;-05:00;America/New_York;EN;Myrtle Beach;['CRE', 'MYR']
MYS;ET;+03:00;Africa/Addis_Ababa;EN;Moyale;MYS
MYT;MM;+06:30;Asia/Yangon;EN;Myitkyina;MYT
MYU;US;-09:00;America/Anchorage;EN;Mekoryuk;MYU
MYV;US;-08:00;America/Los_Angeles;EN;Marysville;['BAB', 'MYV']
MYW;TZ;+03:00;Africa/Dar_es_Salaam;EN;Mtwara;MYW
MYX;PG;+10:00;Pacific/Port_Moresby;EN;Menyamya;MYX
MYY;MY;+08:00;Asia/Kuching;EN;Miri;MYY
MYZ;MW;+02:00;Africa/Blantyre;EN;Monkey Bay;MYZ
MZA;PE;-05:00;America/Lima;EN;Mazamari;MZA
MZB;MZ;+02:00;Africa/Maputo;EN;Mocimboa Da Praia;MZB
MZC;GA;+01:00;Africa/Libreville;EN;Mitzic;MZC
MZD;EC;-05:00;America/Guayaquil;EN;Mendez;MZD
MZE;BZ;-06:00;America/Belize;EN;Manatee;MZE
MZF;ZA;+02:00;Africa/Johannesburg;EN;Mzamba;MZF
MZG;TW;+08:00;Asia/Taipei;EN;Magong;MZG
MZH;TR;+03:00;Europe/Istanbul;EN;Amasya;MZH
MZI;ML;+00:00;Africa/Bamako;EN;Mopti;MZI
MZJ;US;-07:00;America/Phoenix;EN;Marana;MZJ
MZK;KI;+12:00;Pacific/Tarawa;EN;Marakei;MZK
MZL;CO;-05:00;America/Bogota;EN;Manizales;MZL
MZN;PG;+10:00;Pacific/Port_Moresby;EN;Minj;MZN
MZO;CU;-05:00;America/Havana;EN;Manzanillo;MZO
MZP;NZ;+12:00;Pacific/Auckland;EN;Motueka;MZP
MZQ;ZA;+02:00;Africa/Johannesburg;EN;Mkuze;MZQ
MZR;AF;+04:30;Asia/Kabul;EN;Mazar-E Sharif;MZR
MZS;MY;+08:00;Asia/Kuching;EN;Mostyn;MZS
MZT;MX;-07:00;America/Mazatlan;EN;Mazatlan;MZT
MZU;IN;+05:30;Asia/Kolkata;EN;Muzaffarpur;MZU
MZV;MY;+08:00;Asia/Kuching;EN;Mulu;MZV
MZW;DZ;+01:00;Africa/Algiers;EN;Mecheria;MZW
MZX;ET;+03:00;Africa/Addis_Ababa;EN;Mena;MZX
MZY;ZA;+02:00;Africa/Johannesburg;EN;Mossel Bay;MZY
MZZ;US;-05:00;America/New_York;EN;Marion;MZZ
NAA;AU;+10:00;Australia/Sydney;EN;Narrabri;NAA
NAC;AU;+09:30;Australia/Adelaide;EN;Naracoorte;NAC
NAD;CO;-05:00;America/Bogota;EN;Macanal;NAD
NAE;BJ;+01:00;Africa/Porto-Novo;EN;Natitingou;NAE
NAF;ID;+08:00;Asia/Makassar;EN;Banaina;NAF
NAG;IN;+05:30;Asia/Kolkata;EN;Nagpur;NAG
NAH;ID;+08:00;Asia/Makassar;EN;Tahuna;NAH
NAI;GY;-04:00;America/Guyana;EN;Annai;NAI
NAJ;AZ;+04:00;Asia/Baku;EN;Nakchivan;NAJ
NAK;TH;+07:00;Asia/Bangkok;EN;Nakhon Ratchasima;NAK
NAL;RU;+03:00;Europe/Moscow;EN;Nalchik;NAL
NAM;ID;+09:00;Asia/Jayapura;EN;Namlea;NAM
