AirportCode;CityCode;CountryCode;LocationType;UtcOffset;TimeZoneId;Position.Coordinate.Latitude;Position.Coordinate.Longitude;Names.Name.@LanguageCode;Names.Name.$
JFM;JFM;AU;Airport;+08:00;Australia/Perth;-32.0433;115.7394;EN;Fremantle Heliport
JFN;JFN;US;Airport;-05:00;America/New_York;41.7333;-80.7667;EN;Ashtabula Northeast Ohio Regional
JFR;JFR;GL;Airport;-03:00;America/Godthab;62.0131;-49.6686;EN;Paamiut Frederikshaab
JGA;JGA;IN;Airport;+05:30;Asia/Kolkata;22.4656;70.0125;EN;Jamnagar Govardhanpur
JGB;JGB;IN;Airport;+05:30;Asia/Kolkata;19.0667;82.0333;EN;Jagdalpur
JGC;GCN;US;Airport;-07:00;America/Phoenix;35.975;-112.1403;EN;Grand Canyon H/P
JGD;JGD;CN;Airport;+08:00;Asia/Shanghai;50.3781;124.1156;EN;Jiagedaqi
JGE;JGE;KR;Airport;+09:00;Asia/Seoul;34.9078;128.6869;EN;Geoje Heliport
JGL;ATL;US;Airport;-05:00;America/New_York;33.6361;-84.4333;EN;Atlanta Galleria Heliport
JGN;JGN;CN;Airport;+08:00;Asia/Shanghai;39.8572;98.3414;EN;Jiayuguan
JGO;JGO;GL;Airport;-03:00;America/Godthab;69.2508;-53.5381;EN;Qeqertarsuaq Scoresbysund Heliport
JGP;HOU;US;Airport;-06:00;America/Chicago;29.7333;-95.4333;EN;Houston Greenway Plaza H/P
JGQ;HOU;US;Airport;-06:00;America/Chicago;29.7667;-95.4667;EN;Houston Transco Tower Heliport
JGR;JGR;GL;Airport;-03:00;America/Godthab;61.3333;-48.1;EN;Groennedal Heliport
JGS;JGS;CN;Airport;+08:00;Asia/Shanghai;26.8578;114.7364;EN;Ji'an Jinggangshan
