AirportCode;CityCode;CountryCode;LocationType;UtcOffset;TimeZoneId;Latitude;Longitude;AirportName
URI;URI;CO;Airport;-05:00;America/Bogota;3.2167;-74.4;Uribe
URJ;URJ;RU;Airport;+05:00;Asia/Yekaterinburg;60.1161;64.83;Uray
URM;URM;VE;Airport;-04:00;America/Caracas;5.3417;-62.7583;Uriman
URN;URN;AF;Airport;+04:30;Asia/Kabul;32.95;69.1833;Urgun
URO;URO;FR;Airport;+01:00;Europe/Paris;49.3908;1.1839;Rouen Vallee De Seine
URR;URR;CO;Airport;-05:00;America/Bogota;6.3333;-76.1833;Urrao
URS;URS;RU;Airport;+03:00;Europe/Moscow;51.7506;36.2956;Kursk
URT;URT;TH;Airport;+07:00;Asia/Bangkok;9.1361;99.1392;Surat Thani
URU;URU;PG;Airport;+10:00;Pacific/Port_Moresby;-9.5;148.5667;Uroubi
URY;URY;SA;Airport;+03:00;Asia/Riyadh;31.4119;37.2794;Gurayat
URZ;URZ;AF;Airport;+04:30;Asia/Kabul;32.9;66.6167;Uruzgan
USA;USA;US;Airport;-05:00;America/New_York;35.3878;-80.7092;Concord Regional
USC;USC;US;Airport;-05:00;America/New_York;34.7;-81.6167;Union County
USH;USH;AR;Airport;-03:00;America/Argentina/Buenos_Aires;-54.8433;-68.2956;Ushuaia
USI;USI;GY;Airport;-04:00;America/Guyana;8.2028;-59.8083;Mabaruma
USJ;USJ;KZ;Airport;+06:00;Asia/Almaty;46.1908;80.83;Usharal
USK;USK;RU;Airport;+03:00;Europe/Moscow;66.0044;57.3672;Usinsk
USL;USL;AU;Airport;+08:00;Australia/Perth;-25.9667;113.1167;Useless Loop
USM;USM;TH;Airport;+07:00;Asia/Bangkok;9.5503;100.0625;Koh Samui
USN;USN;KR;Airport;+09:00;Asia/Seoul;35.5936;129.3517;Ulsan
USO;USO;PG;Airport;+10:00;Pacific/Port_Moresby;-5.5;145.4333;Usino
USQ;USQ;TR;Airport;+03:00;Europe/Istanbul;38.6814;29.4717;Usak
USR;USR;RU;Airport;+10:00;Asia/Vladivostok;64.5494;143.1108;Ust Nera
USS;USS;CU;Airport;-05:00;America/Havana;21.9722;-79.4469;Sancti Spiritus
UST;UST;US;Airport;-05:00;America/New_York;29.9614;-81.3411;St Augustine
USU;USU;PH;Airport;+08:00;Asia/Manila;12.1214;120.1;Busuanga Francisco B Reyes
USX;USX;GB;Rail Station;+00:00;Europe/London;50.3397;-4.7894;St Austell Rail Station St Austell Rr S
UTA;UTA;ZW;Airport;+02:00;Africa/Harare;-18.9667;32.45;Mutare
UTB;UTB;AU;Airport;+10:00;Australia/Brisbane;-22.75;144.5833;Muttaburra
UTC;UTC;NL;Airport;+01:00;Europe/Amsterdam;52.1283;5.2769;Utrecht Soesterberg Apt
UTD;UTD;AU;Airport;+09:30;Australia/Darwin;-15.8333;134.1667;Nutwood Downs
UTE;UTE;ZA;Airport;+02:00;Africa/Johannesburg;-32.3833;28.0667;Butterworth
UTG;UTG;LS;Airport;+02:00;Africa/Maseru;-30.5;27.6;Quthing
UTH;UTH;TH;Airport;+07:00;Asia/Bangkok;17.3864;102.7883;Udon Thani
UTI;UTI;FI;Airport;+02:00;Europe/Helsinki;60.8964;26.9381;Utti
UTK;UTK;MH;Airport;+12:00;Pacific/Majuro;11.2222;169.8508;Utirik Island
UTL;UTL;ES;Rail Station;+01:00;Europe/Madrid;36.6167;-4.5;Torremolinos Rail Station
UTM;UTM;US;Airport;-06:00;America/Chicago;34.6808;-90.3464;Tunica Municipal
UTN;UTN;ZA;Airport;+02:00;Africa/Johannesburg;-28.3992;21.2603;Upington
UTO;UTO;US;Airport;-09:00;America/Anchorage;65.9928;-153.7044;Utopia Creek Indian Mountain
UTP;UTP;TH;Airport;+07:00;Asia/Bangkok;12.6797;101.005;U-Tapao Rayong-Pattaya Intl
UTR;UTR;TH;Airport;+07:00;Asia/Bangkok;17.6694;100.2439;Uttaradit
UTS;UTS;RU;Airport;+03:00;Europe/Moscow;65.4333;52.2017;Ust-Tsilma
UTT;UTT;ZA;Airport;+02:00;Africa/Johannesburg;-31.5478;28.6742;Umtata
UTU;UTU;PA;Airport;-05:00;America/Panama;9.4167;-78.6;Ustupo
UTW;UTW;ZA;Airport;+02:00;Africa/Johannesburg;-31.9167;26.8833;Queenstown
UUA;UUA;RU;Airport;+03:00;Europe/Moscow;54.6353;52.7992;Bugulma
UUD;UUD;RU;Airport;+08:00;Asia/Irkutsk;51.8078;107.4378;Ulan-Ude
UUK;UUK;US;Airport;-09:00;America/Anchorage;70.3308;-149.5981;Ugnu-Kuparuk
UUN;UUN;MN;Airport;+08:00;Asia/Ulaanbaatar;46.6603;113.2853;Baruun-Urt
UUS;UUS;RU;Airport;+11:00;Asia/Srednekolymsk;46.8886;142.7175;Yuzhno-Sakhalinsk Khomutovo
UUU;UUU;PG;Airport;+10:00;Pacific/Port_Moresby;-8.0833;147.55;Manumu
UVA;UVA;US;Airport;-06:00;America/Chicago;29.2;-99.7333;Uvalde Garner Field
UVE;UVE;NC;Airport;+11:00;Pacific/Noumea;-20.6406;166.5728;Ouvea Ouloup
UVF;SLU;LC;Airport;-04:00;America/St_Lucia;13.7333;-60.9525;St Lucia
UVI;UVI;BR;Airport;-03:00;America/Araguaina;-26.2336;-51.0667;Uniao Da Vitoria
UVL;UVL;EG;Airport;+02:00;Africa/Cairo;25.4767;30.59;Kharga
UVO;UVO;PG;Airport;+10:00;Pacific/Port_Moresby;-6.0167;150.95;Uvol
